"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"308","20107","GMCWPS","Gwalior Municipal corporation WPS","Gwalior","ground","404.6","...","...","...","..."
"309","20108","OCL","Orient Craft Ltd","Alwar","rooftop","612","...","...","...","..."
"310","20109","SFGN","Sheela Foams Greater Noida","Greater Noida","rooftop","376.2","...","...","...","..."
"311","20110","ZFI","ZF India","Pune","rooftop","236.3","...","...","...","..."
"312","20111","BSHHA","BSH Household Appliances","Chennai","rooftop","520.2","...","...","...","..."
"313","20113","MPUVNL","Idemitsu","Raigad","rooftop","727.65","...","...","...","..."
"314","20114","YNIIIE","Yamaha Gr Noida Phase III Ext","Noida","rooftop","402.9","...","...","...","..."
"315","20115","SRM2","Supreme Roto Phase 2","Gwalior","rooftop","204","...","...","...","..."
"316","20116","SPMSL","Supreme Industries Silvassa","Dadra and Nagar Haveli","rooftop","98.28","...","...","...","..."
"317","20117","SIH","Supreme Industries Hosur","Hosur","rooftop","1198.89","...","...","...","..."
"318","20119","MOR","Morganite Crucible","Aurangabad","rooftop","540.87","...","...","...","..."
"319","20121","HHTPPL","Huhtamaki - PPL Daman","Daman","rooftop","85.8","...","...","...","..."
"320","20122","HHPPLS","Huhtamaki PPL Silvassa","Silvassa","rooftop","203.58","...","...","...","..."
"321","20123","AMS","Huhtamaki-PPL  Taloja","Raigad","rooftop","133.2","...","...","...","..."
"322","20124","HHTPPL","Huhtamaki - PPL Guwahati","Guwahati","rooftop","340.86","...","...","...","..."
"323","21001","MCEXN","Minda Silca Extention Greater Noida","Noida","rooftop","134.37","...","...","...","..."
"324","21002","MUMZ","Amazon Transportation - MUMZ","Mumbai","rooftop","749.6","...","...","...","..."
"325","21003","HYDF","Amazon Transportation - HYDF","Hyderabad","rooftop","273","...","...","...","..."
"326","21004","GP","Gold Plus","Roorkee","rooftop","5386.5","...","...","...","..."
"327","21007","SDDPL","Schreiber Dynamix Dairies RT Ext","Baramati","rooftop","429.86","...","...","...","..."
"328","21008","SIEGEX","Siegwerk Extn","Alwar","rooftop","136.4","...","...","...","..."
"329","21009","SNOWP1&2","Snowman Pune 1 and 2","Pune","rooftop","204.44","...","...","...","..."
"330","21010","SNOWP3","Snowman Pune 3","Pune","rooftop","407.16","...","...","...","..."
"331","21011","SNOWVZ2","Snowman Vizag 2","Visakhapatnam","rooftop","325.33","...","...","...","..."
"332","21012","SNOWBL","Snowman Prithla","Dudhola","rooftop","407.16","...","...","...","..."
"333","21013","SNOWCH","Snowman Cheemasandra","Bengalore","rooftop","311.85","...","...","...","..."
"334","21014","SNOWCH","Snowman Cochin","Cochin","rooftop","351.89","...","...","...","..."
"335","21015","SIEF","Strive India Education Foundation UBS","Raigad","rooftop","355.68","...","...","...","..."
"336","21016","SNOWDRB","Snowman Derrabassi","Sanauli","rooftop","385.39","...","...","...","..."
"337","21017","SNWLK2","Snowman Kolkata 2","Kolkata","rooftop","400.8","...","...","...","..."
"338","21018","SNOWHY","Snowman Hyderabad","Hyderabad","rooftop","311.85","...","...","...","..."
"339","21019","KTEC","Kinetic Taigene Electrical","Pune","rooftop","182.4","...","...","...","..."
"340","21020","MFP","Megha Fruit Processing Pvt Ltd","Kondapur Mandal","ground","1089","...","...","...","..."
"341","21021","MLP","Marico Limited Perundurai","Periyavettupalayam","rooftop","257.21","...","...","...","..."
"342","21022","SNOWJP","Snowman Jaipur","Jaipur","rooftop","280.28","...","...","...","..."
"343","21023","SPU","Spicer Uttarakhand","Rudrapur","rooftop","392.045","...","...","...","..."
"344","21024","GRFLL","Gateway Rail Ludhiana","Ludhiana","rooftop","400.5","...","...","...","..."
"345","21025","GDGH","Gateway Distriparks Garhi Harsaru","Gurgaon","rooftop","440.11","...","...","...","..."
"346","21026","PL","Petronas Lubricants","Raigad","rooftop","759.33","...","...","...","..."
"347","21027","EWL","Essel World Leisure Private Ltd","Mumbai","rooftop","512","...","...","...","..."
"348","21028","Mdrc","Mindarika","Pune","rooftop","676.4","...","...","...","..."
"349","21030","MKAWB","Minda Kosei Aluminium Bawal","Bawal","rooftop","803.25","...","...","...","..."
"350","21031","DTMB","Denso Ten Minda Bawal","Bawal","rooftop","314.17","...","...","...","..."
"351","21033","MRB","Minda Rinder Bahadurgarh","Bahadurgarh","rooftop","403.62","...","...","...","..."
"352","21034","MILL","Minda Lightning Chennai","Chennai","rooftop","473.38","...","...","...","..."
"353","21035","ME","Minda Emer","Gurugram","rooftop","340.425","...","...","...","..."
"354","21036","MDCD","Minda Corporation Ltd DCD","Pune","rooftop","811.68","...","...","...","..."
"355","21037","CNHIN","CNH Industrial Noida","Greater Noida","rooftop","1372.14","...","...","...","..."
"356","21038","MKLB","Minda Kyoraku Limited","Bawal","rooftop","608.76","...","...","...","..."
"357","21039","MM","Mindarika  Manesar","Kasan","rooftop","420.97","...","...","...","..."
